2022-05-07 12:42:03.260875: eur/gbp,  
2022-05-07 12:50:03.467126: eur/gbp,  
2022-05-07 12:59:03.343768: aud/usd,  
2022-05-07 13:07:03.882565: nzd/usd,  
2022-05-07 13:15:02.980117: eur/usd,  
2022-05-07 13:21:03.247926: usd/chf,  
2022-05-07 13:28:02.852956: nzd/usd,  
2022-05-07 13:38:02.584360: eur/usd,  
2022-05-07 13:47:05.456847: usd/chf,  
2022-05-07 13:54:03.220823: nzd/usd,  
2022-05-07 14:05:03.025528: usd/chf,  
2022-05-07 14:12:02.728438: usd/jpy,  
2022-05-07 14:19:04.766112: usd/jpy,  
2022-05-07 14:25:02.317101: eur/usd,  
2022-05-07 14:31:05.609641: aud/usd,  
2022-05-07 14:37:02.221152: eur/gbp,  
2022-05-07 14:46:03.250606: nzd/usd,  
2022-05-07 14:57:05.075628: nzd/usd,  
2022-05-07 15:08:02.111149: usd/jpy,  
2022-05-07 15:14:02.812256: usd/chf,  
2022-05-07 15:23:02.677629: usd/jpy,  
2022-05-07 15:31:01.646958: nzd/usd,  
2022-05-07 15:38:02.504258: nzd/usd,  
2022-05-07 15:49:02.955045: nzd/usd,  
2022-05-07 15:56:02.907007: nzd/usd,  
2022-05-07 16:02:02.879453: usd/jpy,  
2022-05-07 16:09:02.792142: usd/chf,  
2022-05-07 16:18:02.249144: usd/chf,  
2022-05-07 16:27:02.456410: eur/gbp,  
2022-05-07 16:38:02.270871: nzd/usd,  
2022-05-07 16:49:02.205271: nzd/usd,  
2022-05-07 16:56:03.395790: nzd/usd,  
2022-05-07 17:05:03.689092: usd/chf,  
2022-05-07 17:16:02.351652: eur/gbp,  
2022-05-07 17:24:04.959145: nzd/usd,  
2022-05-07 17:30:03.208542: nzd/usd,  
 
2022-05-07 17:48:02.053065: eur/gbp,  
2022-05-07 17:55:03.616359: nzd/usd,  
2022-05-07 18:02:03.914318: usd/jpy,  
2022-05-07 18:13:04.429806: usd/chf,  
2022-05-07 18:24:02.614503: eur/gbp,  
2022-05-07 18:35:05.092455: nzd/usd,  
 
 
2022-05-07 23:51:39.294265: eur/gbp, 2022-05-07 23:58:18.294266: usd/jpy, 2022-05-07 23:59:01.798071: aud/usd,  
2022-05-08 00:06:03.234626: usd/chf,  
2022-05-08 00:13:02.378327: eur/usd,  
2022-05-08 00:21:02.041549: eur/gbp,  
2022-05-08 00:29:03.651269: eur/gbp,  
2022-05-08 00:37:01.921717: eur/gbp,  
2022-05-08 00:44:02.562980: usd/chf,  
2022-05-08 00:51:02.187247: eur/usd,  
2022-05-08 00:58:02.081301: eur/usd,  
2022-05-08 01:06:03.271196: nzd/usd,  
2022-05-08 01:15:03.613387: eur/gbp, 2022-05-08 01:21:01.722788: usd/jpy, 2022-05-08 01:28:03.841082: aud/usd,  
2022-05-08 01:37:03.365964: aud/usd,  
2022-05-08 01:47:22.373363: usd/chf, 2022-05-08 01:51:04.247300: eur/gbp,  
2022-05-08 01:59:03.336533: eur/usd,  
2022-05-08 02:10:03.339357: eur/usd,  
2022-05-08 02:19:02.530563: eur/gbp,  
2022-05-08 02:28:02.879199: nzd/usd, 2022-05-08 02:43:54.832658: aud/usd,  
2022-05-08 02:47:21.368709: usd/chf, 2022-05-08 02:49:02.895678: nzd/usd, 2022-05-08 02:57:42.607016: usd/jpy,  
 
2022-05-08 03:03:57.447717: nzd/usd, 2022-05-08 03:05:06.174163: usd/jpy,  
2022-05-08 03:13:05.807911: usd/jpy,  
2022-05-08 03:21:07.102985: usd/jpy,  
2022-05-08 03:28:03.211183: nzd/usd,  
2022-05-08 03:39:05.442971: usd/jpy,  
2022-05-08 03:46:03.761117: usd/chf,  
2022-05-08 03:56:05.401188: eur/usd,  
2022-05-08 04:04:03.136751: usd/jpy,  
2022-05-08 04:14:02.978593: aud/usd,  
2022-05-08 04:24:02.948975: usd/chf,  
2022-05-08 04:35:04.865869: nzd/usd,  
2022-05-08 04:41:03.669271: usd/chf,  
2022-05-08 04:50:03.379426: aud/usd,  
2022-05-08 04:59:03.033446: usd/jpy,  
2022-05-08 05:10:03.749571: eur/usd,  
2022-05-08 05:18:04.811392: nzd/usd,  
2022-05-08 05:24:03.250268: eur/usd,  
2022-05-08 05:32:03.141995: usd/jpy,  
2022-05-08 05:42:04.148214: usd/jpy,  
2022-05-08 05:51:02.990398: nzd/usd,  
2022-05-08 06:00:03.320630: eur/gbp,  
2022-05-08 06:09:02.727257: usd/jpy,  
2022-05-08 06:18:03.639356: usd/jpy,  
2022-05-08 06:29:03.263357: nzd/usd,  
2022-05-08 06:40:03.192318: usd/chf,  
2022-05-08 06:50:03.156138: usd/chf,  
2022-05-08 07:00:04.473177: usd/chf,  
2022-05-08 07:06:03.637876: eur/usd,  
2022-05-08 07:13:03.272673: usd/jpy, 2022-05-08 07:47:01.744683: usd/chf,  
2022-05-08 07:53:02.409835: usd/jpy, 2022-05-08 08:19:03.441373: usd/jpy,  
2022-05-08 08:26:02.440003: aud/usd,  
2022-05-08 08:33:02.383418: eur/usd,  
2022-05-08 08:44:02.051075: nzd/usd,  
2022-05-08 08:53:01.950329: usd/chf,  
2022-05-08 09:00:02.545642: eur/gbp,  
2022-05-08 09:08:02.149071: eur/gbp,  
2022-05-08 09:18:02.182671: eur/usd, 2022-05-08 09:23:53.826156: eur/gbp, 2022-05-08 09:26:02.611706: eur/usd,  
2022-05-08 09:36:01.995511: usd/jpy,  
2022-05-08 09:43:01.697781: eur/gbp,  
2022-05-08 09:53:00.190690: eur/gbp, 2022-05-08 09:54:41.113386: eur/usd,  
2022-05-08 10:01:02.503312: nzd/usd, 2022-05-08 10:07:02.110610: eur/usd, 2022-05-08 10:13:02.065750: eur/gbp,  
2022-05-08 10:23:03.109574: eur/usd,  
2022-05-08 10:33:02.079223: nzd/usd, 2022-05-08 10:41:00.938695: eur/usd, 2022-05-08 10:47:03.390752: nzd/usd, 2022-05-08 10:54:03.132780: usd/chf, 2022-05-08 11:02:02.616535: nzd/usd,  
2022-05-08 11:12:05.378231: usd/chf, 2022-05-08 11:18:01.883136: aud/usd,  
2022-05-08 11:27:02.427778: eur/usd,  
2022-05-08 11:37:03.646969: aud/usd,  
2022-05-08 11:50:29.517643: eur/gbp, 2022-05-08 11:53:01.883764: usd/jpy,  
2022-05-08 12:00:01.912816: eur/gbp,  
2022-05-08 12:06:01.644004: nzd/usd,  
2022-05-08 12:12:02.665454: nzd/usd,  
2022-05-08 12:21:03.921320: usd/chf,  
2022-05-08 12:32:02.147768: usd/jpy,  
2022-05-08 12:42:01.982694: aud/usd,  
2022-05-08 12:51:01.937360: aud/usd,  
2022-05-08 12:58:02.664829: usd/chf,  
2022-05-08 13:06:03.624304: usd/jpy,  
2022-05-08 13:13:01.782951: usd/jpy,  
2022-05-08 13:22:01.782868: eur/gbp,  
2022-05-08 13:29:02.353369: eur/gbp,  
2022-05-08 13:40:03.497449: usd/jpy,  
2022-05-08 13:48:01.842842: aud/usd,  
2022-05-08 13:55:02.133666: usd/chf,  
2022-05-08 14:06:02.021124: nzd/usd,  
2022-05-08 14:16:01.433212: eur/usd,  
2022-05-08 14:24:02.238326: usd/jpy,  
2022-05-08 14:33:01.662901: eur/gbp,  
2022-05-08 14:43:01.779643: nzd/usd,  
2022-05-08 14:50:04.475600: usd/jpy,  
2022-05-08 14:56:01.813868: eur/usd,  
2022-05-08 15:03:02.015752: nzd/usd,  
2022-05-08 15:10:01.921371: eur/usd,  
2022-05-08 15:17:01.450724: nzd/usd,  
2022-05-08 15:28:02.113548: aud/usd,  
2022-05-08 15:35:02.213863: aud/usd,  
2022-05-08 15:44:01.192966: eur/usd,  
2022-05-08 15:52:02.891480: nzd/usd,  
2022-05-08 16:00:02.798068: aud/usd,  
2022-05-08 16:07:02.369086: usd/chf,  
2022-05-08 16:15:01.975800: usd/chf,  
2022-05-08 16:24:02.637035: eur/gbp,  
